Date_of_Sale,Postal_Code,County,Price_€_VAT_incl,Description_of_Property,Property_Size_Description,Month_of_Sale,Quarter_of_Sale
2020-05-21,unknown,Roscommon,180000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2011-09-08,unknown,Kilkenny,73500.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-09-24,dublin 15,Dublin,280000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-08-18,unknown,Louth,205000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2013-08-02,dublin 9,Dublin,282500.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2014-09-19,unknown,Kildare,330000.0,New Dwelling house /Apartment,38 - 125,September,3
2019-07-01,unknown,Donegal,175000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-11-13,unknown,Meath,120000.0,New Dwelling house /Apartment,unknown,November,4
2010-01-18,unknown,Roscommon,280000.0,New Dwelling house /Apartment,>= 125,January,1
2019-10-08,unknown,Laois,263500.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2012-07-27,unknown,Carlow,210000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-11-14,unknown,Cork,339081.0,New Dwelling house /Apartment,unknown,November,4
2014-02-14,unknown,Wicklow,322500.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2016-12-20,unknown,Dublin,350000.0,New Dwelling house /Apartment,38 - 125,December,4
2016-07-29,unknown,Sligo,69000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2016-12-16,unknown,Dublin,355000.0,New Dwelling house /Apartment,>= 125,December,4
2015-07-17,unknown,Louth,69000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-11-19,unknown,Clare,315000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-02-15,unknown,Tipperary,71000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2019-01-25,dublin 24,Dublin,250000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2017-04-26,unknown,Dublin,350000.0,New Dwelling house /Apartment,38 - 125,April,2
2010-07-13,unknown,Kildare,130000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-08-20,unknown,Cavan,118000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2014-02-20,unknown,Cork,505075.0,New Dwelling house /Apartment,>= 125,February,1
2013-09-06,unknown,Mayo,163000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-05-05,unknown,Cork,410000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-12-22,unknown,Donegal,45000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2012-08-27,unknown,Dublin,328000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2021-01-07,unknown,Galway,266575.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2014-05-26,unknown,Waterford,52000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-07-26,unknown,Dublin,545000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2011-12-22,unknown,Wicklow,237000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-09-15,unknown,Tipperary,155000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-04-28,dublin 18,Dublin,450000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2017-02-17,unknown,Roscommon,150000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2017-11-02,unknown,Galway,230000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-09-04,unknown,Kildare,196000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-12-18,unknown,Kerry,155000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-02-12,unknown,Meath,108000.0,New Dwelling house /Apartment,38 - 125,February,1
2014-03-21,unknown,Dublin,177500.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2010-11-05,unknown,Meath,250000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2019-05-14,unknown,Kilkenny,205000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2016-06-15,unknown,Kerry,112000.0,New Dwelling house /Apartment,>= 125,June,2
2015-09-30,unknown,Dublin,360000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2011-02-24,unknown,Wicklow,210000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2016-06-10,unknown,Waterford,166334.0,New Dwelling house /Apartment,38 - 125,June,2
2021-07-15,unknown,Limerick,314596.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2010-02-11,unknown,Wicklow,320000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2013-10-21,unknown,Tipperary,65000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
