Not_Full_Market_Price,Year_of_Sale,Location,New_Property_VAT_Exclusive,Properties_purchased_each_year,Wealth_in_Ireland,Ireland_Mortgage_Rates,Log_Price
0,2020,Roscommon,0,917,208098.0,0.0292,12.100712129872347
0,2011,Kilkenny,0,357,155962.0,0.0442,11.205040685200927
0,2021,Dublin 15,0,1060,212773.0,0.028,12.542544882151386
0,2021,Louth,0,1060,212773.0,0.028,12.230765258120545
0,2013,Dublin 9,0,547,162434.0,0.0438,12.551433829568632
0,2014,Kildare,1,847,176960.0,0.042,12.580215630994084
0,2019,Donegal,0,1154,215555.0,0.0302,12.072541252905651
0,2019,Meath,0,1154,215555.0,0.0302,11.695247021764184
0,2010,Roscommon,1,413,161348.0,0.0402,12.41591220996802
0,2019,Laois,0,1154,215555.0,0.0302,12.481808646963554
0,2012,Carlow,0,485,152843.0,0.0433,12.254862809699606
0,2019,Cork,1,1154,215555.0,0.0302,12.607362382227857
0,2014,Wicklow,0,847,176960.0,0.042,12.683858415217964
0,2016,Dublin,1,1006,190618.0,0.0361,12.639055639675078
0,2016,Sligo,0,1006,190618.0,0.0361,11.141861783579396
0,2016,Dublin,1,1006,190618.0,0.0361,12.653239361185602
0,2015,Louth,0,998,180068.0,0.0405,11.141861783579396
0,2021,Clare,0,1060,212773.0,0.028,12.66032791780777
0,2018,Tipperary,0,1122,210015.0,0.0321,11.170435156023453
0,2019,Dublin 24,0,1154,215555.0,0.0302,12.429216196844383
0,2017,Dublin,1,1081,199406.0,0.0344,12.639055769389373
0,2010,Kildare,0,413,161348.0,0.0402,11.77528972943772
0,2018,Cavan,0,1122,210015.0,0.0321,11.678439903447801
0,2014,Cork,1,847,176960.0,0.042,13.005829561148378
0,2013,Mayo,0,547,162434.0,0.0438,12.0015054797889
0,2015,Cork,0,998,180068.0,0.0405,12.92391243868049
1,2018,Kildare,0,1122,210015.0,0.0321,12.061046873479915
0,2018,Donegal,0,1122,210015.0,0.0321,10.714417768752456
0,2012,Dublin,0,485,152843.0,0.0433,12.70076888736628
0,2021,Galway,0,1060,212773.0,0.028,12.49341090888638
0,2014,Waterford,0,847,176960.0,0.042,10.858998997563564
0,2018,Dublin,0,1122,210015.0,0.0321,13.208541073645382
0,2011,Wicklow,0,357,155962.0,0.0442,12.375815420117268
0,2020,Tipperary,0,917,208098.0,0.0292,11.951180395901384
0,2015,Dublin 18,0,998,180068.0,0.0405,13.017002861746503
0,2017,Roscommon,0,1081,199406.0,0.0344,11.918390573078392
0,2017,Galway,0,1081,199406.0,0.0344,12.345834587905333
0,2015,Kildare,0,998,180068.0,0.0405,12.185869938212655
0,2019,Kerry,0,1154,215555.0,0.0302,11.951180395901384
0,2014,Meath,1,847,176960.0,0.042,11.463251910726656
0,2014,Dublin,0,847,176960.0,0.042,12.086725887897607
0,2010,Meath,0,413,161348.0,0.0402,12.429216196844383
0,2019,Kilkenny,0,1154,215555.0,0.0302,12.230765258120545
0,2016,Kerry,1,1006,190618.0,0.0361,11.499621559165293
0,2015,Dublin,0,998,180068.0,0.0405,12.793859310432293
0,2011,Wicklow,0,357,155962.0,0.0442,12.254862809699606
0,2016,Waterford,1,1006,190618.0,0.0361,11.895121946139039
0,2021,Limerick,0,1060,212773.0,0.028,12.659044554967315
0,2010,Wicklow,0,413,161348.0,0.0402,12.676076274775909
0,2013,Tipperary,0,547,162434.0,0.0438,11.082142548877775
0,2016,Dublin 14,0,1006,190618.0,0.0361,12.971540487669746
0,2020,Meath,0,917,208098.0,0.0292,12.043553716032399
0,2020,Kerry,0,917,208098.0,0.0292,12.289954129510877
0,2016,Kerry,0,1006,190618.0,0.0361,10.46310334047155
0,2012,Kildare,0,485,152843.0,0.0433,13.388566418178986
0,2018,Dublin,0,1122,210015.0,0.0321,13.312983737012978
0,2020,Monaghan,1,917,208098.0,0.0292,12.611537753638338
0,2020,Limerick,0,917,208098.0,0.0292,11.002099841204238
0,2016,Louth,0,1006,190618.0,0.0361,11.03488966402723
0,2015,Laois,0,998,180068.0,0.0405,10.809727948556782
0,2021,Dublin 15,0,1060,212773.0,0.028,12.254862809699606
0,2013,Galway,0,547,162434.0,0.0438,12.245293358683455
0,2017,Dublin 5,0,1081,199406.0,0.0344,12.742566016044742
0,2015,Dublin 4,0,998,180068.0,0.0405,14.03062193758122
0,2019,Dublin 5,1,1154,215555.0,0.0302,13.091039879002032
0,2021,Louth,0,1060,212773.0,0.028,12.449018824140563
0,2017,Cork,0,1081,199406.0,0.0344,12.254862809699606
0,2013,Cork,0,547,162434.0,0.0438,11.751942365440728
0,2018,Cork,0,1122,210015.0,0.0321,12.614865543731012
0,2017,Longford,0,1081,199406.0,0.0344,11.512925464970229
0,2018,Laois,0,1122,210015.0,0.0321,12.594730635321957
0,2020,Dublin 24,0,917,208098.0,0.0292,12.80765263256463
0,2016,Longford,0,1006,190618.0,0.0361,11.429543856031177
0,2011,Roscommon,0,357,155962.0,0.0442,11.512925464970229
0,2021,Dublin,0,1060,212773.0,0.028,14.510156614647956
0,2020,Limerick,0,917,208098.0,0.0292,12.128111104060462
0,2019,Dublin 22,0,1154,215555.0,0.0302,12.310432660854417
0,2013,Roscommon,1,547,162434.0,0.0438,11.918390573078392
0,2022,Cork,0,13,217448.0,0.028,13.071070083016778
0,2010,Meath,0,413,161348.0,0.0402,12.230765258120545
0,2013,Kildare,1,547,162434.0,0.0438,12.77258743765672
0,2021,Dublin 9,0,1060,212773.0,0.028,12.400816722322686
0,2013,Clare,0,547,162434.0,0.0438,11.719939634354555
0,2016,Waterford,0,1006,190618.0,0.0361,12.144197241812087
0,2012,Dublin,1,485,152843.0,0.0433,12.34180037444137
0,2021,Limerick,0,1060,212773.0,0.028,12.611537753638338
0,2015,Clare,0,998,180068.0,0.0405,11.289781913656018
0,2016,Wicklow,0,1006,190618.0,0.0361,11.512925464970229
0,2019,Waterford,0,1154,215555.0,0.0302,12.468436909997665
0,2017,Cork,0,1081,199406.0,0.0344,12.301382825334498
0,2020,Dublin,0,917,208098.0,0.0292,12.283033686666302
0,2011,Dublin,0,357,155962.0,0.0442,12.535376392672774
0,2012,Meath,0,485,152843.0,0.0433,11.532728092266408
0,2015,Mayo,0,998,180068.0,0.0405,10.388995368317829
0,2016,Donegal,0,1006,190618.0,0.0361,12.100712129872347
0,2020,Dublin 24,0,917,208098.0,0.0292,12.2783933071098
0,2019,Kildare,0,1154,215555.0,0.0302,12.380025952653611
0,2011,Dublin,0,357,155962.0,0.0442,13.081541382884074
0,2010,Kerry,0,413,161348.0,0.0402,11.652687407345388
0,2021,Dublin 5,0,1060,212773.0,0.028,13.38472764187182
0,2014,Dublin 18,0,847,176960.0,0.042,11.99535161421452
0,2017,Westmeath,0,1081,199406.0,0.0344,11.736069016284437
0,2020,Limerick,0,917,208098.0,0.0292,11.872564760872976
0,2020,Cavan,0,917,208098.0,0.0292,12.287652632522597
0,2012,Wicklow,0,485,152843.0,0.0433,12.4529327234617
0,2019,Kilkenny,0,1154,215555.0,0.0302,11.56171562913966
0,2016,Dublin 6w,0,1006,190618.0,0.0361,13.253391639810733
0,2020,Longford,0,917,208098.0,0.0292,11.002099841204238
0,2015,Dublin 8,0,998,180068.0,0.0405,12.378091309328232
0,2015,Cork,0,998,180068.0,0.0405,12.254862809699606
0,2016,Wicklow,0,1006,190618.0,0.0361,12.771386454580234
0,2018,Kerry,0,1122,210015.0,0.0321,11.77528972943772
