Date_of_Sale,Postal_Code,County,Price_€_VAT_incl,Description_of_Property,Property_Size_Description,Month_of_Sale,Quarter_of_Sale
2022-01-15,unknown,Dublin,154000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-15,unknown,Limerick,370000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-16,unknown,Kildare,465000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-16,unknown,Wexford,100000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Laois,225000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,475000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Limerick,130000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Longford,216000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Meath,370001.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 3,Dublin,395000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wicklow,170000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Leitrim,350000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Galway,295000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wicklow,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,250000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,185000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 6w,Dublin,564797.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Dublin,245000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Offaly,302000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 14,Dublin,376000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kilkenny,210000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Donegal,150000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wexford,150000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 4,Dublin,640000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wexford,286000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wexford,161250.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 7,Dublin,362000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Sligo,76000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 15,Dublin,295000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,285000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 18,Dublin,832500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Louth,227000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,257500.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Carlow,145000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Donegal,160000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 24,Dublin,425000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,330000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,167500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,300775.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Louth,279950.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Dublin,199000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Tipperary,155000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Clare,80000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Louth,85000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,280000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,220000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,180000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kilkenny,165000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kerry,214219.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Laois,165000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Carlow,251000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 6w,Dublin,528750.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 6w,Dublin,58750.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 12,Dublin,330000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wicklow,422000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 16,Dublin,340000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 5,Dublin,810000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Meath,350000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 10,Dublin,270000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Louth,250000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Dublin,317000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wexford,307500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kerry,320000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 7,Dublin,307000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,948500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,326199.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Carlow,193000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,300000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Donegal,225000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Louth,370000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Galway,160000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,438000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,155000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 7,Dublin,315000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 6w,Dublin,572000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 10,Dublin,280000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Westmeath,230000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Roscommon,150000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 12,Dublin,365000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Galway,740000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Dublin,405000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Mayo,200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kilkenny,232000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Donegal,112500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,245000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Sligo,420000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Offaly,185000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wicklow,286000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,295000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Sligo,120000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,244994.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Longford,167500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Louth,185000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Clare,125000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 18,Dublin,585000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Mayo,160000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 8,Dublin,652500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,475000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 18,Dublin,560000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,399000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,860000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Tipperary,242500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 5,Dublin,295000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 22,Dublin,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,295000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Laois,194800.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Galway,455000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 4,Dublin,775000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Roscommon,280000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 15,Dublin,945000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kildare,249000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,120000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 13,Dublin,352000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Meath,340000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Roscommon,110000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 24,Dublin,274000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Carlow,239950.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 17,Dublin,320000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kilkenny,181000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Dublin,1409000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Tipperary,220000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Meath,110000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Dublin,215000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Mayo,66000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,121000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,110000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,115000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Limerick,135000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,170000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Donegal,40000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Galway,340000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,130000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Carlow,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kerry,117000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wicklow,290000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Roscommon,87000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kerry,330000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,245000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Laois,350000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wicklow,650000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Clare,305000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cavan,335000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Leitrim,280000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Carlow,270000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Offaly,151000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cavan,60000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,350000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kerry,400000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Galway,140000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Westmeath,285000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,500000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Clare,50000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Donegal,160000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Mayo,359000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Galway,200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cavan,420000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cork,59835.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Tipperary,165000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,287500.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Dublin,998000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wexford,343000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Westmeath,500000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,dublin 16,Dublin,1100000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Mayo,80000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Monaghan,240000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kerry,80000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Roscommon,54000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Tipperary,420000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Kilkenny,125000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Roscommon,135000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Clare,700000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Cavan,135000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Westmeath,320000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Laois,253000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Waterford,310000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-17,unknown,Wicklow,295000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 15,Dublin,570000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Limerick,180000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Monaghan,258000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,409999.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,530000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kerry,212000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 24,Dublin,435000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 24,Dublin,374999.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,385000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 18,Dublin,327000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,405000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 7,Dublin,1210000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 9,Dublin,430000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Wexford,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 24,Dublin,452500.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 16,Dublin,510000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 13,Dublin,370000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Clare,249000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,245000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,280000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,240000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Wicklow,360000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,195000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Galway,140000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 13,Dublin,465000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 22,Dublin,370000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,440000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 6,Dublin,1300000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,252999.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Limerick,160000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,465000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kilkenny,172000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,270000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Limerick,140000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Waterford,200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Louth,284950.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cavan,150000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Meath,132000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,375000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Westmeath,272000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Louth,279950.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Wicklow,281000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Meath,260000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,551000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Clare,188000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Laois,140000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Donegal,128000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Mayo,232000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,850000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Galway,125000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 6,Dublin,1200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Meath,385000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Waterford,165000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 13,Dublin,500000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 12,Dublin,380000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 15,Dublin,330000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 13,Dublin,515432.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Louth,200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,506749.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 13,Dublin,1200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Offaly,200000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,385000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Wexford,175000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kilkenny,460000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Galway,140000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,1250000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kerry,202500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Wexford,165000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Tipperary,215000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,572500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,343000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Westmeath,450000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,222000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 12,Dublin,320000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 6,Dublin,585000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Wicklow,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 14,Dublin,481000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Dublin,635000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Monaghan,85000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,190000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 16,Dublin,500000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 22,Dublin,260000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Offaly,225000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,285000.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,245000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 24,Dublin,381000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 15,Dublin,660525.0,New Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 22,Dublin,250000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 2,Dublin,370000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,305000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 15,Dublin,165000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cavan,145000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 8,Dublin,260000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Laois,235000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 9,Dublin,322000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 12,Dublin,280000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 15,Dublin,262000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,430000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 3,Dublin,400000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Louth,115000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Donegal,165500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 8,Dublin,195000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 2,Dublin,1409000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,dublin 13,Dublin,310000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Kildare,345000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Tipperary,125000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,428000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Donegal,142500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Clare,322000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2022-01-18,unknown,Cork,295000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
