Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
21/05/2020,"BALLYGLASS, STROKESTOWN RD, LANESBORO",,Roscommon,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2011,"26 Newpark, Kilkenny",,Kilkenny,"€73,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2021,"23 THE COURTYARD, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2021,"137 RACECOURSE MEADOWS, RACECOURSE RD, DUNDALK",,Louth,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2013,"96 Shantalla Road, Beaumont",Dublin 9,Dublin,"€282,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2014,"24 Barretstown Meadows, Roseberry, Newbridge",,Kildare,"€290,749.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/07/2019,"BALLYRAINE ROAD, LETTERKENNY, CO DONEGAL",,Donegal,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2019,"Ticroghan, Clonard",,Meath,"€120,000.00",No,No,New Dwelling house /Apartment,
18/01/2010,"Ballypheason, Galway Road, Roscommon",,Roscommon,"€246,696.03",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
08/10/2019,"11 AGHNAHARNA DR, STRADBALLY RD, PORTLAOISE",,Laois,"€263,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2012,"Rocklands, Sandfield, Oak Park",,Carlow,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/11/2019,"1 Laharran West, Manor Farm, Lehenaghbeg",,Cork,"€298,750.00",No,Yes,New Dwelling house /Apartment,
14/02/2014,"ARDFOYLE, THE ROCKY ROAD, WICKLOW TOWN",,Wicklow,"€322,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"Apartment 16 Neptune Block, Honeypark, Dun Laoghaire",,Dublin,"€308,370.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/07/2016,"KEENEGHAN HOUSE, BALLYMOTE, SLIGO",,Sligo,"€69,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"28 Drury Mills, Saggart",,Dublin,"€312,775.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
17/07/2015,"26 RAMPART MILL, RAMPARTS, DUNDALK",,Louth,"€69,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2021,"40 COLLINS PARK, GALLOWS HILL, ENNIS",,Clare,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
